state;action_reward;n_state
1105&3|898&4|310&3|538&3|894&1|288&1|304&3|690&4|750&5|258&1|539&4|270&1;294&5|259&2|289&5|292&4;1105&3|898&4|310&3|538&3|894&1|288&1|304&3|690&4|750&5|258&1|539&4|270&1|294&5|259&2|289&5|292&4
743&2|257&4|227&4|546&3|97&4|570&3|568&4|62&3|226&3|98&4|449&3|95&4;205&4|101&4|157&3|561&2;743&2|257&4|227&4|546&3|97&4|570&3|568&4|62&3|226&3|98&4|449&3|95&4|205&4|101&4|157&3|561&2
286&4|289&3|300&4|323&4|295&4|678&3|288&4|294&4|313&5|258&3|895&3|50&5;222&3|276&3|123&2|181&4;286&4|289&3|300&4|323&4|295&4|678&3|288&4|294&4|313&5|258&3|895&3|50&5|222&3|276&3|123&2|181&4
242&5|286&4|269&5|683&3|515&5|127&4|327&4|292&2|285&4|302&5|116&2|268&2;309&1|301&3|322&3|995&1;242&5|286&4|269&5|683&3|515&5|127&4|327&4|292&2|285&4|302&5|116&2|268&2|309&1|301&3|322&3|995&1
241&1|8&5|134&4|169&5|173&4|222&2|242&4|137&4|71&5|275&5|97&1|189&5;304&5|289&4|294&4|993&4;241&1|8&5|134&4|169&5|173&4|222&2|242&4|137&4|71&5|275&5|97&1|189&5|304&5|289&4|294&4|993&4
50&5|886&3|269&5|79&4|174&5|661&3|137&2|748&3|995&3|12&4|288&3|1&4;318&4|69&4|1050&3|152&4;50&5|886&3|269&5|79&4|174&5|661&3|137&2|748&3|995&3|12&4|288&3|1&4|318&4|69&4|1050&3|152&4
11&4|631&3|291&2|58&3|50&5|382&4|433&2|186&5|122&1|148&3|216&4|300&2;684&3|559&3|385&3|959&3;11&4|631&3|291&2|58&3|50&5|382&4|433&2|186&5|122&1|148&3|216&4|300&2|684&3|559&3|385&3|959&3
212&3|253&1|1599&5|447&4|393&3|698&2|12&5|748&4|451&5|207&4|417&5|497&5;1262&3|969&4|1113&4|523&3;212&3|253&1|1599&5|447&4|393&3|698&2|12&5|748&4|451&5|207&4|417&5|497&5|1262&3|969&4|1113&4|523&3
255&2|281&3|127&4|280&2|321&4|815&4|515&5|931&1|275&5|1028&4|301&4|284&4;476&5|1023&2|225&2|864&3;255&2|281&3|127&4|280&2|321&4|815&4|515&5|931&1|275&5|1028&4|301&4|284&4|476&5|1023&2|225&2|864&3
86&3|1021&3|192&3|275&2|650&2|69&3|1147&1|100&4|285&4|1121&2|134&3|199&3;527&5|242&5|511&5|474&5;86&3|1021&3|192&3|275&2|650&2|69&3|1147&1|100&4|285&4|1121&2|134&3|199&3|527&5|242&5|511&5|474&5
300&4|938&1|294&4|340&4|319&3|328&3|286&5|288&4|873&2|748&3|322&3|271&2;289&4|302&5|1038&4|242&4;300&4|938&1|294&4|340&4|319&3|328&3|286&5|288&4|873&2|748&3|322&3|271&2|289&4|302&5|1038&4|242&4
218&3|234&5|637&4|185&2|48&5|558&4|56&2|127&4|7&4|441&2|183&3|444&2;447&4|567&5|443&3|184&3;218&3|234&5|637&4|185&2|48&5|558&4|56&2|127&4|7&4|441&2|183&3|444&2|447&4|567&5|443&3|184&3
286&4|313&5|750&5|310&3|328&3|690&4|272&5|312&2|270&3|749&3|879&3|326&2;688&2|323&2|748&3|322&4;286&4|313&5|750&5|310&3|328&3|690&4|272&5|312&2|270&3|749&3|879&3|326&2|688&2|323&2|748&3|322&4
295&3|100&5|508&3|9&4|596&2|1017&4|118&3|298&4|281&3|121&4|148&3|123&5;370&4|978&2|286&3|930&2;295&3|100&5|508&3|9&4|596&2|1017&4|118&3|298&4|281&3|121&4|148&3|123&5|370&4|978&2|286&3|930&2
273&2|243&3|100&4|294&1|735&5|88&4|1009&4|278&4|866&3|481&3|634&1|154&1;588&2|50&1|196&5|477&1;273&2|243&3|100&4|294&1|735&5|88&4|1009&4|278&4|866&3|481&3|634&1|154&1|588&2|50&1|196&5|477&1
546&5|237&5|283&4|288&4|127&3|117&5|293&4|877&2|9&2|742&2|326&1|261&1;1152&2|205&4|214&1|924&4;546&5|237&5|283&4|288&4|127&3|117&5|293&4|877&2|9&2|742&2|326&1|261&1|1152&2|205&4|214&1|924&4
289&1|898&3|300&3|748&2|312&2|347&1|311&3|352&3|882&3|689&2|328&3|340&2;690&4|316&4|272&4|873&4;289&1|898&3|300&3|748&2|312&2|347&1|311&3|352&3|882&3|689&2|328&3|340&2|690&4|316&4|272&4|873&4
331&4|258&5|748&2|127&4|479&5|174&5|286&5|654&5|319&4|321&4|499&4|690&3;173&5|484&3|191&3|50&4;331&4|258&5|748&2|127&4|479&5|174&5|286&5|654&5|319&4|321&4|499&4|690&3|173&5|484&3|191&3|50&4
358&4|302&4|316&5|300&2|319&5|270&4|748&4|288&4|327&5|324&4|539&3|313&4;1296&4|343&3|334&3|309&5;358&4|302&4|316&5|300&2|319&5|270&4|748&4|288&4|327&5|324&4|539&3|313&4|1296&4|343&3|334&3|309&5
100&3|423&5|178&5|763&3|181&5|121&3|845&3|172&5|257&3|48&3|191&4|15&4;471&4|126&5|283&2|222&3;100&3|423&5|178&5|763&3|181&5|121&3|845&3|172&5|257&3|48&3|191&4|15&4|471&4|126&5|283&2|222&3
405&4|294&3|15&4|50&4|1&4|1047&3|125&3|118&3|223&5|292&5|289&4|121&4;237&4|257&4|127&4|300&4;405&4|294&3|15&4|50&4|1&4|1047&3|125&3|118&3|223&5|292&5|289&4|121&4|237&4|257&4|127&4|300&4
108&3|114&4|258&4|227&4|181&4|230&4|431&3|423&4|161&4|109&4|229&3|222&4;165&1|450&2|25&3|82&3;108&3|114&4|258&4|227&4|181&4|230&4|431&3|423&4|161&4|109&4|229&3|222&4|165&1|450&2|25&3|82&3
11&2|50&5|197&3|709&4|333&4|331&2|474&4|173&1|124&4|98&5|466&4|443&5;448&3|674&5|423&2|200&3;11&2|50&5|197&3|709&4|333&4|331&2|474&4|173&1|124&4|98&5|466&4|443&5|448&3|674&5|423&2|200&3
294&4|350&4|310&4|332&4|334&4|269&5|313&5|750&5|331&4|315&5|352&4|272&5;303&3|1313&4|875&4|307&4;294&4|350&4|310&4|332&4|334&4|269&5|313&5|750&5|331&4|315&5|352&4|272&5|303&3|1313&4|875&4|307&4
1034&1|1047&3|147&4|176&4|405&5|1059&3|123&4|1051&2|1287&1|250&5|595&3|68&3;353&3|1314&1|301&3|127&5;1034&1|1047&3|147&4|176&4|405&5|1059&3|123&4|1051&2|1287&1|250&5|595&3|68&3|353&3|1314&1|301&3|127&5
495&3|513&5|624&2|4&4|474&4|1291&3|227&4|186&4|527&4|177&5|584&4|429&4;1178&3|664&3|428&3|1140&3;495&3|513&5|624&2|4&4|474&4|1291&3|227&4|186&4|527&4|177&5|584&4|429&4|1178&3|664&3|428&3|1140&3
836&3|651&4|654&5|613&3|427&5|1116&4|432&3|511&4|493&4|1204&4|482&5|98&4;1451&4|143&3|185&5|607&4;836&3|651&4|654&5|613&3|427&5|1116&4|432&3|511&4|493&4|1204&4|482&5|98&4|1451&4|143&3|185&5|607&4
153&4|190&5|69&5|144&4|1118&2|727&3|472&3|71&5|87&3|148&4|432&4|283&3;640&4|561&3|387&3|229&4;153&4|190&5|69&5|144&4|1118&2|727&3|472&3|71&5|87&3|148&4|432&4|283&3|640&4|561&3|387&3|229&4
200&4|183&5|551&3|5&4|436&4|17&5|441&3|333&4|326&4|379&4|565&2|774&4;448&4|219&4|164&4|567&4;200&4|183&5|551&3|5&4|436&4|17&5|441&3|333&4|326&4|379&4|565&2|774&4|448&4|219&4|164&4|567&4
234&3|114&3|14&5|46&4|463&5|484&5|514&1|1203&5|1070&5|100&3|300&1|187&5;518&3|198&5|654&5|961&5;234&3|114&3|14&5|46&4|463&5|484&5|514&1|1203&5|1070&5|100&3|300&1|187&5|518&3|198&5|654&5|961&5
135&4|91&5|497&3|205&5|188&4|272&4|318&5|82&3|423&3|521&4|131&3|968&4;393&3|231&2|672&3|375&2;135&4|91&5|497&3|205&5|188&4|272&4|318&5|82&3|423&3|521&4|131&3|968&4|393&3|231&2|672&3|375&2
448&2|678&3|197&4|238&4|168&5|633&3|307&4|625&3|257&4|252&2|470&3|447&4;99&4|496&4|222&4|183&4;448&2|678&3|197&4|238&4|168&5|633&3|307&4|625&3|257&4|252&2|470&3|447&4|99&4|496&4|222&4|183&4
781&3|94&2|568&3|480&5|718&4|154&4|92&4|672&2|244&4|234&4|239&3|257&4;37&3|928&1|269&4|1090&2;781&3|94&2|568&3|480&5|718&4|154&4|92&4|672&2|244&4|234&4|239&3|257&4|37&3|928&1|269&4|1090&2
240&3|125&4|1335&2|411&4|1284&3|322&3|678&2|1197&4|225&3|763&3|275&3|933&3;127&5|690&3|313&5|13&4;240&3|125&4|1335&2|411&4|1284&3|322&3|678&2|1197&4|225&3|763&3|275&3|933&3|127&5|690&3|313&5|13&4
735&4|228&4|214&3|182&5|508&4|640&5|22&5|9&5|469&5|693&5|346&5|474&4;637&4|719&3|411&2|636&4;735&4|228&4|214&3|182&5|508&4|640&5|22&5|9&5|469&5|693&5|346&5|474&4|637&4|719&3|411&2|636&4
550&4|566&4|210&5|68&4|56&3|385&5|128&3|62&3|2&3|172&5|24&4|455&4;8&4|64&4|135&1|423&3;550&4|566&4|210&5|68&4|56&3|385&5|128&3|62&3|2&3|172&5|24&4|455&4|8&4|64&4|135&1|423&3
122&3|276&4|288&3|815&1|756&1|118&1|15&1|275&4|1132&1|237&4|242&2|240&4;100&5|151&5|1014&4|269&4;122&3|276&4|288&3|815&1|756&1|118&1|15&1|275&4|1132&1|237&4|242&2|240&4|100&5|151&5|1014&4|269&4
819&3|249&1|535&3|255&2|25&4|257&3|845&3|1038&2|323&3|274&4|1059&5|1028&2;832&5|409&3|833&5|1&4;819&3|249&1|535&3|255&2|25&4|257&3|845&3|1038&2|323&3|274&4|1059&5|1028&2|832&5|409&3|833&5|1&4
478&5|143&5|204&4|114&5|12&5|919&5|81&5|748&2|584&3|302&3|47&3|168&5;602&4|546&2|371&4|231&1;478&5|143&5|204&4|114&5|12&5|919&5|81&5|748&2|584&3|302&3|47&3|168&5|602&4|546&2|371&4|231&1
58&4|180&5|83&3|806&3|276&3|480&5|211&4|178&5|205&3|157&4|655&3|528&4;318&4|22&3|661&4|77&2;58&4|180&5|83&3|806&3|276&3|480&5|211&4|178&5|205&3|157&4|655&3|528&4|318&4|22&3|661&4|77&2
288&5|257&3|475&3|1049&2|271&3|222&4|744&2|150&5|321&3|748&2|304&3|326&4;282&1|93&4|50&5|993&3;288&5|257&3|475&3|1049&2|271&3|222&4|744&2|150&5|321&3|748&2|304&3|326&4|282&1|93&4|50&5|993&3
311&1|271&2|749&4|1434&1|1617&1|1234&1|313&5|327&4|750&2|1176&1|310&5|938&3;988&1|948&1|299&1|908&1;311&1|271&2|749&4|1434&1|1617&1|1234&1|313&5|327&4|750&2|1176&1|310&5|938&3|988&1|948&1|299&1|908&1
118&3|756&3|815&2|257&4|1190&3|301&3|237&3|926&3|294&3|845&3|286&5|538&4;252&3|1258&1|458&4|111&4;118&3|756&3|815&2|257&4|1190&3|301&3|237&3|926&3|294&3|845&3|286&5|538&4|252&3|1258&1|458&4|111&4
175&5|153&5|1104&2|408&5|124&5|652&5|25&4|89&3|11&5|111&4|32&5|216&3;347&3|191&5|121&2|1101&5;175&5|153&5|1104&2|408&5|124&5|652&5|25&4|89&3|11&5|111&4|32&5|216&3|347&3|191&5|121&2|1101&5
473&3|71&1|56&3|508&4|928&1|186&4|58&1|284&4|107&4|740&4|91&5|9&4;1135&2|365&3|382&4|842&1;473&3|71&1|56&3|508&4|928&1|186&4|58&1|284&4|107&4|740&4|91&5|9&4|1135&2|365&3|382&4|842&1
939&4|733&5|40&4|235&4|156&5|421&5|658&5|372&5|204&3|762&4|433&5|83&5;1046&2|79&3|356&3|98&5;939&4|733&5|40&4|235&4|156&5|421&5|658&5|372&5|204&3|762&4|433&5|83&5|1046&2|79&3|356&3|98&5
763&3|121&1|1&3|248&4|879&2|50&3|237&5|328&2|255&3|751&2|1014&2|100&4;150&5|628&5|9&5|276&5;763&3|121&1|1&3|248&4|879&2|50&3|237&5|328&2|255&3|751&2|1014&2|100&4|150&5|628&5|9&5|276&5
302&5|332&5|288&5|330&5|1296&5|340&5|270&5|242&5|300&5|333&5|690&5|305&5;168&4|294&4|258&5|845&5;302&5|332&5|288&5|330&5|1296&5|340&5|270&5|242&5|300&5|333&5|690&5|305&5|168&4|294&4|258&5|845&5
286&5|991&4|990&5|292&5|242&5|898&5|294&1|310&4|312&4|690&4|259&2|1024&5;289&1|899&5|245&4|299&5;286&5|991&4|990&5|292&5|242&5|898&5|294&1|310&4|312&4|690&4|259&2|1024&5|289&1|899&5|245&4|299&5
5&3|313&3|2&2|797&2|444&1|248&3|62&3|947&3|83&3|319&4|450&1|665&1;49&2|182&3|1030&1|13&3;5&3|313&3|2&2|797&2|444&1|248&3|62&3|947&3|83&3|319&4|450&1|665&1|49&2|182&3|1030&1|13&3
235&5|288&2|472&3|279&3|294&4|546&1|9&4|458&4|237&2|293&3|126&4|14&3;411&3|122&3|756&4|405&2;235&5|288&2|472&3|279&3|294&4|546&1|9&4|458&4|237&2|293&3|126&4|14&3|411&3|122&3|756&4|405&2
15&4|286&5|50&4|127&4|1&4|25&5|237&3|245&3|282&4|252&3|515&5|924&4;257&2|118&2|546&2|508&2;15&4|286&5|50&4|127&4|1&4|25&5|237&3|245&3|282&4|252&3|515&5|924&4|257&2|118&2|546&2|508&2
246&4|1016&3|150&5|181&5|100&3|410&4|93&2|3&3|1&2|845&4|248&4|288&5;827&3|546&3|284&4|864&2;246&4|1016&3|150&5|181&5|100&3|410&4|93&2|3&3|1&2|845&4|248&4|288&5|827&3|546&3|284&4|864&2
334&5|288&3|313&5|270&5|300&3|748&4|333&4|1243&5|319&2|891&5|990&5|538&1;362&5|1105&5|322&4|882&5;334&5|288&3|313&5|270&5|300&3|748&4|333&4|1243&5|319&2|891&5|990&5|538&1|362&5|1105&5|322&4|882&5
257&4|181&5|50&5|222&5|250&3|546&4|118&4|685&4|323&5|405&3|121&5|127&4;739&5|210&5|265&5|252&5;257&4|181&5|50&5|222&5|250&3|546&4|118&4|685&4|323&5|405&3|121&5|127&4|739&5|210&5|265&5|252&5
1266&5|405&4|197&5|198&3|732&3|529&4|303&5|100&5|272&4|11&3|52&3|517&4;1639&4|580&3|157&4|616&5;1266&5|405&4|197&5|198&3|732&3|529&4|303&5|100&5|272&4|11&3|52&3|517&4|1639&4|580&3|157&4|616&5
624&3|22&3|627&3|625&2|588&3|181&4|826&2|418&3|169&3|432&4|89&3|304&3;416&3|96&3|679&3|196&3;624&3|22&3|627&3|625&2|588&3|181&4|826&2|418&3|169&3|432&4|89&3|304&3|416&3|96&3|679&3|196&3
421&4|367&4|419&3|89&4|568&3|399&2|91&3|591&4|138&2|97&3|197&2|118&2;919&5|122&1|1074&4|141&3;421&4|367&4|419&3|89&4|568&3|399&2|91&3|591&4|138&2|97&3|197&2|118&2|919&5|122&1|1074&4|141&3
319&3|322&3|990&5|328&4|341&5|302&4|989&5|292&2|938&5|258&4|682&5|300&4;289&5|874&5|334&5|680&5;319&3|322&3|990&5|328&4|341&5|302&4|989&5|292&2|938&5|258&4|682&5|300&4|289&5|874&5|334&5|680&5
71&1|664&5|114&5|935&3|936&4|303&4|347&1|38&1|616&5|82&1|258&5|382&5;1014&3|179&5|855&5|223&5;71&1|664&5|114&5|935&3|936&4|303&4|347&1|38&1|616&5|82&1|258&5|382&5|1014&3|179&5|855&5|223&5
1017&5|50&5|181&5|340&5|1012&5|264&3|307&4|151&4|1011&4|148&4|257&5|276&5;168&5|831&4|829&4|866&4;1017&5|50&5|181&5|340&5|1012&5|264&3|307&4|151&4|1011&4|148&4|257&5|276&5|168&5|831&4|829&4|866&4
831&3|325&3|44&1|532&4|300&4|735&4|196&4|846&3|250&4|522&4|1009&4|469&4;552&1|242&3|244&3|1057&3;831&3|325&3|44&1|532&4|300&4|735&4|196&4|846&3|250&4|522&4|1009&4|469&4|552&1|242&3|244&3|1057&3
173&5|485&1|132&4|50&5|692&3|134&2|148&3|210&4|182&3|184&3|705&1|479&3;144&5|679&3|64&4|83&5;173&5|485&1|132&4|50&5|692&3|134&2|148&3|210&4|182&3|184&3|705&1|479&3|144&5|679&3|64&4|83&5
172&5|680&2|393&4|551&4|746&4|542&2|266&2|743&3|177&3|373&3|89&3|692&3;423&4|386&2|380&3|142&3;172&5|680&2|393&4|551&4|746&4|542&2|266&2|743&3|177&3|373&3|89&3|692&3|423&4|386&2|380&3|142&3
147&1|169&5|91&5|28&4|268&5|294&3|315&3|346&5|322&2|358&2|82&4|408&4;55&2|89&3|425&4|7&4;147&1|169&5|91&5|28&4|268&5|294&3|315&3|346&5|322&2|358&2|82&4|408&4|55&2|89&3|425&4|7&4
321&2|322&3|484&4|98&4|173&3|175&3|427&5|210&3|52&4|257&5|50&4|613&2;631&4|172&4|100&4|209&5;321&2|322&3|484&4|98&4|173&3|175&3|427&5|210&3|52&4|257&5|50&4|613&2|631&4|172&4|100&4|209&5
50&5|187&3|325&1|504&3|616&4|127&5|458&3|654&4|521&4|174&2|640&3|485&3;105&3|737&4|1149&4|554&1;50&5|187&3|325&1|504&3|616&4|127&5|458&3|654&4|521&4|174&2|640&3|485&3|105&3|737&4|1149&4|554&1
275&4|301&1|333&4|323&3|259&2|328&4|879&3|984&2|282&4|300&4|294&2|307&4;125&2|96&4|395&3|699&5;275&4|301&1|333&4|323&3|259&2|328&4|879&3|984&2|282&4|300&4|294&2|307&4|125&2|96&4|395&3|699&5
1009&5|250&2|15&3|25&3|472&3|275&4|476&3|19&4|276&1|258&4|284&1|950&2;280&2|225&3|934&2|1047&1;1009&5|250&2|15&3|25&3|472&3|275&4|476&3|19&4|276&1|258&4|284&1|950&2|280&2|225&3|934&2|1047&1
98&5|69&1|7&2|156&5|294&3|210&3|96&4|678&3|181&4|183&5|196&2|323&1;249&4|117&5|257&3|290&3;98&5|69&1|7&2|156&5|294&3|210&3|96&4|678&3|181&4|183&5|196&2|323&1|249&4|117&5|257&3|290&3
989&2|289&5|333&5|300&2|310&3|286&4|508&3|689&1|690&3|288&1|172&3|127&4;25&4|15&4|840&4|740&5;989&2|289&5|333&5|300&2|310&3|286&4|508&3|689&1|690&3|288&1|172&3|127&4|25&4|15&4|840&4|740&5
1023&3|1411&1|586&2|602&3|399&5|493&3|878&4|222&3|862&3|257&4|112&3|367&3;623&3|769&2|1297&3|29&4;1023&3|1411&1|586&2|602&3|399&5|493&3|878&4|222&3|862&3|257&4|112&3|367&3|623&3|769&2|1297&3|29&4
319&5|268&4|327&3|9&4|276&2|246&3|100&2|288&4|124&1|547&4|324&5|286&2;1008&5|253&5|544&4|823&3;319&5|268&4|327&3|9&4|276&2|246&3|100&2|288&4|124&1|547&4|324&5|286&2|1008&5|253&5|544&4|823&3
855&2|1109&3|651&5|283&4|659&4|87&3|64&3|185&5|318&3|213&4|1333&3|511&5;179&3|134&5|56&4|116&4;855&2|1109&3|651&5|283&4|659&4|87&3|64&3|185&5|318&3|213&4|1333&3|511&5|179&3|134&5|56&4|116&4
1131&3|89&5|631&3|258&2|435&3|83&3|509&3|462&3|204&2|136&3|212&3|1161&3;649&3|59&4|448&4|754&2;1131&3|89&5|631&3|258&2|435&3|83&3|509&3|462&3|204&2|136&3|212&3|1161&3|649&3|59&4|448&4|754&2
307&1|333&5|268&1|326&1|873&5|751&4|288&5|895&5|310&5|272&5|286&3|322&3;688&4|879&4|678&4|338&3;307&1|333&5|268&1|326&1|873&5|751&4|288&5|895&5|310&5|272&5|286&3|322&3|688&4|879&4|678&4|338&3
472&1|125&3|826&2|248&5|105&3|288&4|7&4|760&2|833&4|597&3|204&4|225&3;56&3|64&5|11&3|173&5;472&1|125&3|826&2|248&5|105&3|288&4|7&4|760&2|833&4|597&3|204&4|225&3|56&3|64&5|11&3|173&5
168&4|127&4|157&5|276&4|159&4|133&4|753&5|170&4|71&4|203&3|200&1|132&5;191&5|402&5|242&5|97&5;168&4|127&4|157&5|276&4|159&4|133&4|753&5|170&4|71&4|203&3|200&1|132&5|191&5|402&5|242&5|97&5
898&3|351&2|813&5|321&4|304&2|301&3|50&5|766&4|349&2|1137&4|181&4|285&5;271&2|1105&2|269&2|258&2;898&3|351&2|813&5|321&4|304&2|301&3|50&5|766&4|349&2|1137&4|181&4|285&5|271&2|1105&2|269&2|258&2
679&3|660&3|257&4|202&3|205&5|98&4|474&4|483&5|127&5|178&5|71&5|99&3;281&3|549&4|151&3|473&3;679&3|660&3|257&4|202&3|205&5|98&4|474&4|483&5|127&5|178&5|71&5|99&3|281&3|549&4|151&3|473&3
288&3|187&4|489&4|516&3|606&5|505&4|204&1|70&4|568&4|143&5|272&4|607&5;527&4|276&4|402&5|135&3;288&3|187&4|489&4|516&3|606&5|505&4|204&1|70&4|568&4|143&5|272&4|607&5|527&4|276&4|402&5|135&3
284&3|328&4|294&4|988&3|117&3|222&3|275&5|50&5|1&4|100&4|301&4|13&5;151&5|597&2|1014&3|742&4;284&3|328&4|294&4|988&3|117&3|222&3|275&5|50&5|1&4|100&4|301&4|13&5|151&5|597&2|1014&3|742&4
286&3|288&2|304&3|268&4|302&5|305&5|874&3|683&3|306&4|322&2|340&5|258&4;323&2|995&3|301&4|1022&3;286&3|288&2|304&3|268&4|302&5|305&5|874&3|683&3|306&4|322&2|340&5|258&4|323&2|995&3|301&4|1022&3
1394&1|749&2|678&1|260&3|750&3|308&2|346&5|326&1|873&3|262&1|903&2|900&1;889&2|1432&1|302&5|904&1;1394&1|749&2|678&1|260&3|750&3|308&2|346&5|326&1|873&3|262&1|903&2|900&1|889&2|1432&1|302&5|904&1
129&4|32&4|183&4|187&5|507&3|153&3|59&5|514&4|64&5|179&5|81&5|588&2;289&2|923&3|288&3|285&4;129&4|32&4|183&4|187&5|507&3|153&3|59&5|514&4|64&5|179&5|81&5|588&2|289&2|923&3|288&3|285&4
433&3|235&2|317&4|661&5|864&2|276&3|488&3|529&4|660&3|208&3|89&3|465&3;423&3|837&4|501&3|167&2;433&3|235&2|317&4|661&5|864&2|276&3|488&3|529&4|660&3|208&3|89&3|465&3|423&3|837&4|501&3|167&2
268&4|288&3|289&2|304&3|259&4|748&1|323&2|292&3|322&4|319&2|687&2|325&4;678&3|989&2|245&2|991&3;268&4|288&3|289&2|304&3|259&4|748&1|323&2|292&3|322&4|319&2|687&2|325&4|678&3|989&2|245&2|991&3
286&4|750&5|262&5|875&4|312&3|245&4|300&4|325&1|332&4|271&3|288&3|333&4;302&5|264&5|313&5|346&5;286&4|750&5|262&5|875&4|312&3|245&4|300&4|325&1|332&4|271&3|288&3|333&4|302&5|264&5|313&5|346&5
176&4|77&4|183&5|300&4|684&4|603&4|443&4|566&4|39&3|288&4|525&4|302&5;583&2|761&3|1217&4|44&3;176&4|77&4|183&5|300&4|684&4|603&4|443&4|566&4|39&3|288&4|525&4|302&5|583&2|761&3|1217&4|44&3
443&4|420&4|315&5|523&4|121&4|732&4|402&5|180&4|173&4|185&4|255&4|202&5;40&3|302&5|679&3|167&4;443&4|420&4|315&5|523&4|121&4|732&4|402&5|180&4|173&4|185&4|255&4|202&5|40&3|302&5|679&3|167&4
740&4|381&5|65&5|449&4|496&5|88&4|431&5|98&5|25&5|1135&4|357&4|451&4;386&4|196&5|73&4|89&5;740&4|381&5|65&5|449&4|496&5|88&4|431&5|98&5|25&5|1135&4|357&4|451&4|386&4|196&5|73&4|89&5
289&3|222&2|476&4|14&4|813&4|1137&3|1171&3|9&5|286&4|1010&2|301&4|100&3;924&1|284&3|13&4|277&1;289&3|222&2|476&4|14&4|813&4|1137&3|1171&3|9&5|286&4|1010&2|301&4|100&3|924&1|284&3|13&4|277&1
322&5|346&1|748&2|288&3|294&3|751&4|315&3|328&5|984&5|300&5|687&1|313&5;243&3|343&4|894&4|688&3;322&5|346&1|748&2|288&3|294&3|751&4|315&3|328&5|984&5|300&5|687&1|313&5|243&3|343&4|894&4|688&3
603&5|520&4|143&5|211&5|276&5|969&5|928&4|820&4|498&4|977&4|111&5|151&5;59&5|82&4|180&5|230&3;603&5|520&4|143&5|211&5|276&5|969&5|928&4|820&4|498&4|977&4|111&5|151&5|59&5|82&4|180&5|230&3
718&5|1052&4|237&5|40&4|117&5|562&4|276&2|298&4|716&5|111&5|658&5|259&4;451&5|727&5|1170&3|209&4;718&5|1052&4|237&5|40&4|117&5|562&4|276&2|298&4|716&5|111&5|658&5|259&4|451&5|727&5|1170&3|209&4
129&2|1115&3|531&4|13&4|196&4|162&4|461&3|732&4|225&3|237&2|655&4|1368&2;157&5|317&5|1281&5|173&3;129&2|1115&3|531&4|13&4|196&4|162&4|461&3|732&4|225&3|237&2|655&4|1368&2|157&5|317&5|1281&5|173&3
322&3|327&3|326&2|307&1|331&2|258&3|270&4|879&4|302&4|873&3|332&3|304&4;330&1|678&4|1025&4|688&3;322&3|327&3|326&2|307&1|331&2|258&3|270&4|879&4|302&4|873&3|332&3|304&4|330&1|678&4|1025&4|688&3
292&4|322&2|221&4|1257&1|50&3|603&3|1089&2|289&4|262&3|1254&2|306&3|750&4;311&3|902&2|303&3|344&5;292&4|322&2|221&4|1257&1|50&3|603&3|1089&2|289&4|262&3|1254&2|306&3|750&4|311&3|902&2|303&3|344&5
736&4|10&3|179&1|242&5|584&5|463&3|529&5|462&4|937&4|294&3|301&4|289&5;547&4|1009&5|737&3|714&4;736&4|10&3|179&1|242&5|584&5|463&3|529&5|462&4|937&4|294&3|301&4|289&5|547&4|1009&5|737&3|714&4
813&2|255&4|323&1|327&1|288&4|301&5|93&4|476&3|298&3|289&4|257&4|269&3;412&4|1047&1|237&5|871&3;813&2|255&4|323&1|327&1|288&4|301&5|93&4|476&3|298&3|289&4|257&4|269&3|412&4|1047&1|237&5|871&3
311&4|116&4|305&4|340&3|306&4|321&3|289&4|127&5|20&3|325&2|313&3|302&5;514&5|197&4|191&4|654&5;311&4|116&4|305&4|340&3|306&4|321&3|289&4|127&5|20&3|325&2|313&3|302&5|514&5|197&4|191&4|654&5
186&3|1030&2|1014&4|887&4|242&4|508&3|831&2|921&3|1089&4|1052&1|407&2|313&5;496&4|59&3|300&3|93&3;186&3|1030&2|1014&4|887&4|242&4|508&3|831&2|921&3|1089&4|1052&1|407&2|313&5|496&4|59&3|300&3|93&3
116&4|306&5|86&5|172&3|580&2|511&3|191&5|956&4|1111&4|286&4|70&4|655&4;856&4|866&3|4&4|712&3;116&4|306&5|86&5|172&3|580&2|511&3|191&5|956&4|1111&4|286&4|70&4|655&4|856&4|866&3|4&4|712&3
358&1|327&4|258&5|307&3|948&1|333&5|269&3|309&5|323&2|294&5|340&5|245&3;644&3|175&2|39&1|748&4;358&1|327&4|258&5|307&3|948&1|333&5|269&3|309&5|323&2|294&5|340&5|245&3|644&3|175&2|39&1|748&4
660&3|56&5|405&4|831&3|70&2|41&5|1188&5|174&5|673&5|1150&3|746&5|984&2;233&4|53&3|450&5|264&3;660&3|56&5|405&4|831&3|70&2|41&5|1188&5|174&5|673&5|1150&3|746&5|984&2|233&4|53&3|450&5|264&3
231&3|1041&3|22&5|716&4|452&2|769&3|173&5|12&4|363&2|1419&2|118&4|216&3;765&3|67&3|73&3|87&3;231&3|1041&3|22&5|716&4|452&2|769&3|173&5|12&4|363&2|1419&2|118&4|216&3|765&3|67&3|73&3|87&3
260&3|873&2|328&3|286&3|323&3|334&2|895&2|264&3|245&3|307&4|294&4|258&3;50&3|471&4|322&3|181&3;260&3|873&2|328&3|286&3|323&3|334&2|895&2|264&3|245&3|307&4|294&4|258&3|50&3|471&4|322&3|181&3
