state;action_reward;n_state
538&3|539&4|682&1|270&1|990&4|310&3|288&1|1105&3|286&5|1176&4|258&1|1394&5;294&5|328&3|292&4|259&2;538&3|539&4|682&1|270&1|990&4|310&3|288&1|1105&3|286&5|1176&4|258&1|1394&5|294&5|328&3|292&4|259&2
258&5|198&4|117&4|202&4|7&4|931&2|151&4|684&4|176&5|24&4|226&3|64&5;693&4|204&4|91&4|155&2;258&5|198&4|117&4|202&4|7&4|931&2|151&4|684&4|176&5|24&4|226&3|64&5|693&4|204&4|91&4|155&2
289&3|50&5|323&4|286&4|258&3|328&5|13&2|682&4|149&3|313&5|300&4|294&4;276&3|181&4|222&3|123&2;289&3|50&5|323&4|286&4|258&3|328&5|13&2|682&4|149&3|313&5|300&4|294&4|276&3|181&4|222&3|123&2
683&3|285&4|116&2|269&5|276&4|286&4|242&5|332&3|294&1|268&2|515&5|306&5;690&3|301&3|309&1|995&1;683&3|285&4|116&2|269&5|276&4|286&4|242&5|332&3|294&1|268&2|515&5|306&5|690&3|301&3|309&1|995&1
768&4|709&5|189&5|694&3|82&2|707&4|596&4|203&1|408&5|154&2|588&5|202&4;873&3|243&3|98&1|289&4;768&4|709&5|189&5|694&3|82&2|707&4|596&4|203&1|408&5|154&2|588&5|202&4|873&3|243&3|98&1|289&4
1&4|195&4|79&4|294&4|50&5|288&3|12&4|168&4|56&4|209&3|995&3|174&5;318&4|273&3|152&4|183&5;1&4|195&4|79&4|294&4|50&5|288&3|12&4|168&4|56&4|209&3|995&3|174&5|318&4|273&3|152&4|183&5
6&2|217&4|509&4|71&3|197&4|100&1|173&4|1094&1|64&4|410&1|215&4|693&3;229&3|629&4|143&3|1169&4;6&2|217&4|509&4|71&3|197&4|100&1|173&4|1094&1|64&4|410&1|215&4|693&3|229&3|629&4|143&3|1169&4
249&5|238&5|443&4|521&4|415&4|98&5|702&1|699&4|705&4|66&3|170&5|155&3;1262&3|736&5|727&3|1075&4;249&5|238&5|443&4|521&4|415&4|98&5|702&1|699&4|705&4|66&3|170&5|155&3|1262&3|736&5|727&3|1075&4
301&4|25&5|874&4|284&4|815&4|280&2|124&3|931&1|281&3|756&2|127&4|220&2;864&3|1061&4|476&5|1190&2;301&4|25&5|874&4|284&4|815&4|280&2|124&3|931&1|281&3|756&2|127&4|220&2|864&3|1061&4|476&5|1190&2
192&3|772&1|479&3|286&4|657&3|483&2|291&4|212&3|97&3|221&3|1021&3|462&3;187&5|511&5|127&5|56&5;192&3|772&1|479&3|286&4|657&3|483&2|291&4|212&3|97&3|221&3|1021&3|462&3|187&5|511&5|127&5|56&5
873&2|332&3|269&4|326&3|340&4|288&4|294&4|300&4|258&3|271&2|286&5|319&3;1038&4|302&5|242&4|289&4;873&2|332&3|269&4|326&3|340&4|288&4|294&4|300&4|258&3|271&2|286&5|319&3|1038&4|302&5|242&4|289&4
164&4|218&3|56&2|413&3|5&2|200&1|234&5|48&5|444&2|288&3|183&3|637&4;201&3|184&3|443&3|567&5;164&4|218&3|56&2|413&3|5&2|200&1|234&5|48&5|444&2|288&3|183&3|637&4|201&3|184&3|443&3|567&5
300&4|289&1|690&4|312&2|307&4|749&3|315&5|347&2|270&3|326&2|750&5|272&5;322&4|316&5|748&3|678&3;300&4|289&1|690&4|312&2|307&4|749&3|315&5|347&2|270&3|326&2|750&5|272&5|322&4|316&5|748&3|678&3
298&4|123&5|118&3|100&5|508&3|121&4|596&2|244&3|9&4|246&4|148&3|295&3;930&2|925&3|978&2|370&4;298&4|123&5|118&3|100&5|508&3|121&4|596&2|244&3|9&4|246&4|148&3|295&3|930&2|925&3|978&2|370&4
198&4|638&4|1011&3|404&2|248&3|322&2|321&2|892&1|216&4|486&4|69&3|210&4;477&1|71&2|99&4|365&4;198&4|638&4|1011&3|404&2|248&3|322&2|321&2|892&1|216&4|486&4|69&3|210&4|477&1|71&2|99&4|365&4
288&4|426&1|402&3|258&4|688&2|476&2|222&4|455&2|15&5|289&2|127&3|243&3;458&1|291&3|201&2|1152&2;288&4|426&1|402&3|258&4|688&2|476&2|222&4|455&2|15&5|289&2|127&3|243&3|458&1|291&3|201&2|1152&2
882&3|898&3|289&1|258&2|313&5|340&2|300&3|748&2|269&5|286&4|328&3|311&3;873&4|690&4|316&4|315&4;882&3|898&3|289&1|258&2|313&5|340&2|300&3|748&2|269&5|286&4|328&3|311&3|873&4|690&4|316&4|315&4
306&4|479&5|331&4|321&4|1063&4|258&5|748&2|292&4|127&4|174&5|1545&4|654&5;427&5|173&5|191&3|484&3;306&4|479&5|331&4|321&4|1063&4|258&5|748&2|292&4|127&4|174&5|1545&4|654&5|427&5|173&5|191&3|484&3
270&4|286&2|313&4|347&3|319&5|751&3|243&1|310&4|324&4|315&5|539&3|316&5;334&3|689&3|1296&4|683&3;270&4|286&2|313&4|347&3|319&5|751&3|243&1|310&4|324&4|315&5|539&3|316&5|334&3|689&3|1296&4|683&3
178&5|100&3|15&4|596&5|763&3|293&3|1&4|257&3|479&5|121&3|203&3|48&3;283&2|111&4|126&5|150&3;178&5|100&3|15&4|596&5|763&3|293&3|1&4|257&3|479&5|121&3|203&3|48&3|283&2|111&4|126&5|150&3
289&4|121&4|223&5|118&3|1&4|292&5|304&3|181&4|276&3|405&4|222&4|476&3;864&4|300&4|257&4|237&4;289&4|121&4|223&5|118&3|1&4|292&5|304&3|181&4|276&3|405&4|222&4|476&3|864&4|300&4|257&4|237&4
228&5|50&4|258&4|249&4|313&5|40&4|423&4|108&3|222&4|541&3|229&3|172&4;449&2|82&3|450&2|25&3;228&5|50&4|258&4|249&4|313&5|40&4|423&4|108&3|222&4|541&3|229&3|172&4|449&2|82&3|450&2|25&3
50&5|915&4|208&2|56&5|194&4|174&5|474&4|197&3|183&5|517&2|914&3|509&2;423&2|200&3|672&3|427&4;50&5|915&4|208&2|56&5|194&4|174&5|474&4|197&3|183&5|517&2|914&3|509&2|423&2|200&3|672&3|427&4
1024&4|294&4|313&5|322&4|242&4|315&5|302&5|751&5|272&5|269&5|300&5|288&4;1313&4|343&2|344&3|303&3;1024&4|294&4|313&5|322&4|242&4|315&5|302&5|751&5|272&5|269&5|300&5|288&4|1313&4|343&2|344&3|303&3
875&5|109&4|144&5|881&3|192&4|27&4|8&4|346&5|984&3|815&3|1245&4|228&4;1016&5|342&2|273&5|347&5;875&5|109&4|144&5|881&3|192&4|27&4|8&4|346&5|984&3|815&3|1245&4|228&4|1016&5|342&2|273&5|347&5
156&4|443&5|254&4|265&4|631&3|175&4|616&3|218&4|164&4|210&5|191&4|211&4;445&4|448&3|1222&3|1178&3;156&4|443&5|254&4|265&4|631&3|175&4|616&3|218&4|164&4|210&5|191&4|211&4|445&4|448&3|1222&3|1178&3
493&4|614&4|211&4|332&4|136&4|651&4|606&5|527&3|427&5|519&4|605&4|484&5;633&4|505&4|197&4|143&3;493&4|614&4|211&4|332&4|136&4|651&4|606&5|527&3|427&5|519&4|605&4|484&5|633&4|505&4|197&4|143&3
199&3|136&4|230&5|189&5|584&5|566&5|121&4|472&3|174&5|172&5|97&3|1039&5;419&3|631&2|542&1|94&4;199&3|136&4|230&5|189&5|584&5|566&5|121&4|472&3|174&5|172&5|97&3|1039&5|419&3|631&2|542&1|94&4
17&5|441&3|551&3|324&5|246&4|302&5|333&4|258&4|326&4|561&4|100&5|176&5;53&4|452&4|769&3|219&4;17&5|441&3|551&3|324&5|246&4|302&5|333&4|258&4|326&4|561&4|100&5|176&5|53&4|452&4|769&3|219&4
288&2|300&1|527&5|50&5|181&3|69&1|659&3|134&5|79&3|513&5|488&5|210&4;428&5|427&5|312&2|269&5;288&2|300&1|527&5|50&5|181&3|69&1|659&3|134&5|79&3|513&5|488&5|210&4|428&5|427&5|312&2|269&5
187&4|419&3|98&3|1298&3|520&4|739&2|357&4|135&4|639&3|193&3|208&5|385&3;951&3|366&3|231&2|90&1;187&4|419&3|98&3|1298&3|520&4|739&2|357&4|135&4|639&3|193&3|208&5|385&3|951&3|366&3|231&2|90&1
87&5|633&3|100&5|520&5|9&5|123&4|474&4|470&3|190&5|168&5|240&4|249&4;82&4|222&4|636&4|294&4;87&5|633&3|100&5|520&5|9&5|123&4|474&4|470&3|190&5|168&5|240&4|249&4|82&4|222&4|636&4|294&4
627&3|151&3|453&1|810&2|721&3|1188&3|568&3|226&4|363&1|29&1|229&2|1065&4;178&4|928&1|824&2|768&3;627&3|151&3|453&1|810&2|721&3|1188&3|568&3|226&4|363&1|29&1|229&2|1065&4|178&4|928&1|824&2|768&3
676&4|1067&4|237&5|287&3|950&5|221&1|106&3|9&5|14&3|1&3|93&5|763&3;269&4|293&3|547&4|919&2;676&4|1067&4|237&5|287&3|950&5|221&1|106&3|9&5|14&3|1&3|93&5|763&3|269&4|293&3|547&4|919&2
790&2|195&3|47&4|197&5|435&4|770&4|91&5|135&5|498&4|79&4|1039&4|22&5;288&3|636&4|240&4|231&2;790&2|195&3|47&4|197&5|435&4|770&4|91&5|135&5|498&4|79&4|1039&4|22&5|288&3|636&4|240&4|231&2
222&3|2&3|50&5|82&4|597&4|127&2|83&4|184&4|229&2|578&4|144&5|226&4;196&4|208&4|506&3|204&5;222&3|2&3|50&5|82&4|597&4|127&2|83&4|184&4|229&2|578&4|144&5|226&4|196&4|208&4|506&3|204&5
1134&1|756&1|1382&3|25&2|240&4|846&2|1132&1|275&4|294&3|118&1|13&3|276&4;249&4|310&4|127&5|515&5;1134&1|756&1|1382&3|25&2|240&4|846&2|1132&1|275&4|294&3|118&1|13&3|276&4|249&4|310&4|127&5|515&5
845&3|1038&2|257&3|819&3|255&2|1014&1|1028&2|1059&5|294&5|323&3|355&3|249&1;833&5|409&3|117&1|1&4;845&3|1038&2|257&3|819&3|255&2|1014&1|1028&2|1059&5|294&5|323&3|355&3|249&1|833&5|409&3|117&1|1&4
528&5|228&5|93&5|317&5|199&3|792&4|137&5|945&5|628&5|659&5|509&4|178&5;118&3|88&5|49&3|125&4;528&5|228&5|93&5|317&5|199&3|792&4|137&5|945&5|628&5|659&5|509&4|178&5|118&3|88&5|49&3|125&4
651&4|83&3|806&3|480&5|357&4|64&3|317&4|9&4|48&4|178&5|346&3|12&3;661&4|772&3|22&3|510&4;651&4|83&3|806&3|480&5|357&4|64&3|317&4|9&4|48&4|178&5|346&3|12&3|661&4|772&3|22&3|510&4
1049&2|148&3|332&5|288&5|475&3|248&5|304&3|237&3|879&4|151&4|326&4|294&2;50&5|93&4|117&4|282&1;1049&2|148&3|332&5|288&5|475&3|248&5|304&3|237&3|879&4|151&4|326&4|294&2|50&5|93&4|117&4|282&1
344&1|873&3|259&2|1434&1|877&1|343&1|906&1|313&5|332&4|538&2|1234&1|245&2;242&1|680&1|266&1|1127&3;344&1|873&3|259&2|1434&1|877&1|343&1|906&1|313&5|332&4|538&2|1234&1|245&2|242&1|680&1|266&1|1127&3
845&3|181&3|286&5|298&5|926&3|151&2|294&3|815&2|471&4|538&4|125&3|546&3;111&4|252&3|476&3|458&4;845&3|181&3|286&5|298&5|926&3|151&2|294&3|815&2|471&4|538&4|125&3|546&3|111&4|252&3|476&3|458&4
109&4|1008&1|663&2|144&4|194&3|222&4|340&4|216&3|497&2|137&5|209&5|42&4;491&4|70&4|354&3|1105&2;109&4|1008&1|663&2|144&4|194&3|222&4|340&4|216&3|497&2|137&5|209&5|42&4|491&4|70&4|354&3|1105&2
660&3|125&1|222&4|671&4|1079&3|427&4|250&4|184&3|64&4|69&3|191&4|928&1;1116&4|949&2|140&1|416&3;660&3|125&1|222&4|671&4|1079&3|427&4|250&4|184&3|64&4|69&3|191&4|928&1|1116&4|949&2|140&1|416&3
367&1|732&3|111&5|655&5|372&5|40&4|939&4|729&5|762&4|12&2|716&1|790&1;98&5|462&5|1131&5|961&5;367&1|732&3|111&5|655&5|372&5|40&4|939&4|729&5|762&4|12&2|716&1|790&1|98&5|462&5|1131&5|961&5
405&3|328&2|473&3|50&3|248&4|696&5|268&4|763&3|312&2|591&3|1014&2|278&3;476&5|628&5|276&5|535&4;405&3|328&2|473&3|50&3|248&4|696&5|268&4|763&3|312&2|591&3|1014&2|278&3|476&5|628&5|276&5|535&4
1296&5|270&5|333&5|326&5|874&5|340&5|242&5|301&4|305&5|690&5|938&5|288&5;845&5|173&3|294&4|258&5;1296&5|270&5|333&5|326&5|874&5|340&5|242&5|301&4|305&5|690&5|938&5|288&5|845&5|173&3|294&4|258&5
332&5|288&2|690&4|310&4|991&4|312&4|990&5|329&5|1024&5|259&2|286&5|294&1;289&1|245&4|299&5|899&5;332&5|288&2|690&4|310&4|991&4|312&4|990&5|329&5|1024&5|259&2|286&5|294&1|289&1|245&4|299&5|899&5
231&2|168&3|522&3|588&4|685&3|70&3|625&3|307&4|181&2|334&2|771&2|322&3;778&3|202&4|182&3|384&2;231&2|168&3|522&3|588&4|685&3|70&3|625&3|307&4|181&2|334&2|771&2|322&3|778&3|202&4|182&3|384&2
147&5|235&5|1142&3|1009&3|7&2|121&4|255&5|126&4|281&3|289&2|410&3|276&4;405&2|122&3|411&3|1134&2;147&5|235&5|1142&3|1009&3|7&2|121&4|255&5|126&4|281&3|289&2|410&3|276&4|405&2|122&3|411&3|1134&2
924&4|245&3|258&5|127&4|744&4|121&4|405&4|742&4|15&4|282&4|237&3|125&4;827&2|546&2|117&3|257&2;924&4|245&3|258&5|127&4|744&4|121&4|405&4|742&4|15&4|282&4|237&3|125&4|827&2|546&2|117&3|257&2
93&2|845&4|871&2|24&1|150&5|250&1|1047&5|294&4|117&4|7&2|3&3|100&3;108&3|763&5|827&3|678&4;93&2|845&4|871&2|24&1|150&5|250&1|1047&5|294&4|117&4|7&2|3&3|100&3|108&3|763&5|827&3|678&4
313&5|334&5|538&1|326&5|333&4|307&3|288&3|258&3|319&2|748&4|270&5|891&5;362&5|1025&5|322&4|1105&5;313&5|334&5|538&1|326&5|333&4|307&3|288&3|258&3|319&2|748&4|270&5|891&5|362&5|1025&5|322&4|1105&5
181&5|121&5|685&4|250&3|258&4|405&3|117&5|257&4|50&5|763&3|546&4|118&4;435&5|252&5|210&5|265&5;181&5|121&5|685&4|250&3|258&4|405&3|117&5|257&4|50&5|763&3|546&4|118&4|435&5|252&5|210&5|265&5
134&3|170&4|707&5|23&5|186&4|517&4|664&3|252&4|642&4|521&5|97&3|168&5;71&3|971&4|566&5|503&4;134&3|170&4|707&5|23&5|186&4|517&4|664&3|252&4|642&4|521&5|97&3|168&5|71&3|971&4|566&5|503&4
969&2|98&4|71&3|294&4|69&3|523&4|450&3|588&3|230&3|99&3|405&2|1091&2;416&3|226&3|434&3|142&2;969&2|98&4|71&3|294&4|69&3|523&4|450&3|588&3|230&3|99&3|405&2|1091&2|416&3|226&3|434&3|142&2
755&3|8&4|300&4|527&3|1240&4|155&4|228&3|9&2|197&2|473&3|1031&2|71&3;398&3|383&3|603&5|251&4;755&3|8&4|300&4|527&3|1240&4|155&4|228&3|9&2|197&2|473&3|1031&2|71&3|398&3|383&3|603&5|251&4
268&5|331&4|258&4|990&5|263&5|989&5|682&5|292&2|341&5|332&5|1265&5|938&5;937&5|688&5|289&5|245&5;268&5|331&4|258&4|990&5|263&5|989&5|682&5|292&2|341&5|332&5|1265&5|938&5|937&5|688&5|289&5|245&5
38&1|631&5|114&5|546&4|269&5|433&5|132&5|616&5|13&1|71&1|882&3|382&5;223&5|1014&3|179&5|879&4;38&1|631&5|114&5|546&4|269&5|433&5|132&5|616&5|13&1|71&1|882&3|382&5|223&5|1014&3|179&5|879&4
100&5|762&4|741&5|334&5|222&4|689&3|763&4|248&4|405&4|181&5|544&4|121&4;168&5|105&4|460&4|456&4;100&5|762&4|741&5|334&5|222&4|689&3|763&4|248&4|405&4|181&5|544&4|121&4|168&5|105&4|460&4|456&4
557&3|181&3|120&3|164&4|471&4|202&4|82&4|1324&2|286&1|371&4|582&4|568&1;396&3|62&3|43&3|775&1;557&3|181&3|120&3|164&4|471&4|202&4|82&4|1324&2|286&1|371&4|582&4|568&1|396&3|62&3|43&3|775&1
496&4|485&1|210&4|182&3|184&3|655&3|134&2|203&4|603&3|692&3|132&4|173&5;83&5|144&5|172&5|679&3;496&4|485&1|210&4|182&3|184&3|655&3|134&2|203&4|603&3|692&3|132&4|173&5|83&5|144&5|172&5|679&3
546&3|210&5|373&3|550&3|751&3|692&3|746&4|566&4|203&4|231&4|266&2|121&5;520&4|31&4|474&3|380&3;546&3|210&5|373&3|550&3|751&3|692&3|746&4|566&4|203&4|231&4|266&2|121&5|520&4|31&4|474&3|380&3
259&3|895&4|147&1|82&4|294&3|322&2|268&5|346&5|362&3|358&2|288&3|350&4;7&4|425&4|89&3|55&2;259&3|895&4|147&1|82&4|294&3|322&2|268&5|346&5|362&3|358&2|288&3|350&4|7&4|425&4|89&3|55&2
511&4|22&4|265&5|199&4|705&3|114&3|195&4|427&5|323&2|856&3|181&4|607&5;100&4|170&4|238&4|172&4;511&4|22&4|265&5|199&4|705&3|114&3|195&4|427&5|323&2|856&3|181&4|607&5|100&4|170&4|238&4|172&4
650&3|114&5|172&4|272&3|504&3|234&3|517&4|521&4|32&3|493&4|408&5|1203&5;1003&3|386&4|548&3|737&4;650&3|114&5|172&4|272&3|504&3|234&3|517&4|521&4|32&3|493&4|408&5|1203&5|1003&3|386&4|548&3|737&4
282&4|294&2|879&3|259&2|275&4|328&4|333&4|288&2|301&1|323&3|300&4|984&2;699&5|125&2|395&3|96&4;282&4|294&2|879&3|259&2|275&4|328&4|333&4|288&2|301&1|323&3|300&4|984&2|699&5|125&2|395&3|96&4
250&2|25&3|294&4|276&1|15&3|237&3|596&3|289&5|125&5|13&4|472&3|283&5;926&1|762&2|1049&1|225&3;250&2|25&3|294&4|276&1|15&3|237&3|596&3|289&5|125&5|13&4|472&3|283&5|926&1|762&2|1049&1|225&3
114&5|854&5|210&3|323&1|181&4|515&5|69&1|55&4|185&3|127&5|806&3|7&2;235&3|121&2|257&3|475&5;114&5|854&5|210&3|323&1|181&4|515&5|69&1|55&4|185&3|127&5|806&3|7&2|235&3|121&2|257&3|475&5
261&3|100&5|333&5|259&2|275&5|681&3|289&5|310&3|115&1|688&2|427&4|300&2;14&4|25&4|1084&5|151&2;261&3|100&5|333&5|259&2|275&5|681&3|289&5|310&3|115&1|688&2|427&4|300&2|14&4|25&4|1084&5|151&2
283&5|231&2|932&4|728&4|121&5|1284&3|143&5|1063&3|734&3|996&3|378&4|602&3;432&4|1119&3|1285&3|795&3;283&5|231&2|932&4|728&4|121&5|1284&3|143&5|1063&3|734&3|996&3|378&4|602&3|432&4|1119&3|1285&3|795&3
1010&5|15&2|100&2|125&2|508&5|9&4|286&2|246&3|325&1|475&5|124&1|324&5;823&3|253&5|123&4|1008&5;1010&5|15&2|100&2|125&2|508&5|9&4|286&2|246&3|325&1|475&5|124&1|324&5|823&3|253&5|123&4|1008&5
192&4|317&4|659&4|962&3|475&3|193&3|628&3|22&5|956&4|492&3|154&3|709&5;19&3|203&4|116&4|11&4;192&4|317&4|659&4|962&3|475&3|193&3|628&3|22&5|956&4|492&3|154&3|709&5|19&3|203&4|116&4|11&4
160&5|234&4|887&3|182&4|443&3|435&3|210&2|190&4|197&5|238&4|212&3|423&3;558&4|985&1|121&2|628&4;160&5|234&4|887&3|182&4|443&3|435&3|210&2|190&4|197&5|238&4|212&3|423&3|558&4|985&1|121&2|628&4
690&4|538&5|272&5|294&5|304&5|751&4|877&4|313&5|336&1|749&3|268&1|323&2;289&3|243&3|689&4|271&3;690&4|538&5|272&5|294&5|304&5|751&4|877&4|313&5|336&1|749&3|268&1|323&2|289&3|243&3|689&4|271&3
284&3|181&5|1071&3|7&4|281&4|831&1|760&2|151&3|456&3|323&3|1047&4|678&3;64&5|1073&3|199&5|195&3;284&3|181&5|1071&3|7&4|281&4|831&1|760&2|151&3|456&3|323&3|1047&4|678&3|64&5|1073&3|199&5|195&3
28&5|50&4|161&5|392&4|300&4|416&3|381&4|98&5|753&5|172&4|127&4|157&5;216&5|4&5|97&5|318&5;28&5|50&4|161&5|392&4|300&4|416&3|381&4|98&5|753&5|172&4|127&4|157&5|216&5|4&5|97&5|318&5
285&5|16&4|349&2|50&5|1086&4|898&3|286&2|1&5|813&5|408&4|351&2|304&2;1105&2|258&2|269&2|333&2;285&5|16&4|349&2|50&5|1086&4|898&3|286&2|1&5|813&5|408&4|351&2|304&2|1105&2|258&2|269&2|333&2
99&3|71&5|333&5|9&4|183&3|168&5|356&3|200&3|28&4|174&5|993&4|679&3;820&4|845&3|418&4|88&5;99&3|71&5|333&5|9&4|183&3|168&5|356&3|200&3|28&4|174&5|993&4|679&3|820&4|845&3|418&4|88&5
1&4|317&3|607&5|352&1|508&3|195&3|568&4|51&5|271&1|133&4|28&4|56&3;183&4|153&5|276&4|485&5;1&4|317&3|607&5|352&1|508&3|195&3|568&4|51&5|271&1|133&4|28&4|56&3|183&4|153&5|276&4|485&5
301&4|275&5|50&5|1&4|988&3|885&2|13&5|284&3|328&4|181&5|748&3|283&4;742&4|597&2|1014&3|151&5;301&4|275&5|50&5|1&4|988&3|885&2|13&5|284&3|328&4|181&5|748&3|283&4|742&4|597&2|1014&3|151&5
269&4|306&4|322&2|303&4|288&2|683&3|262&5|289&4|292&4|307&4|286&3|268&4;1022&3|327&4|323&2|301&4;269&4|306&4|322&2|303&4|288&2|683&3|262&5|289&4|292&4|307&4|286&3|268&4|1022&3|327&4|323&2|301&4
1024&1|1313&1|900&1|288&5|896&4|262&1|359&1|336&1|690&2|258&4|346&5|682&3;904&1|891&2|1432&1|360&1;1024&1|1313&1|900&1|288&5|896&4|262&1|359&1|336&1|690&2|258&4|346&5|682&3|904&1|891&2|1432&1|360&1
318&4|56&4|514&4|48&2|82&2|480&4|433&4|188&5|1&2|154&5|81&5|28&3;748&2|271&2|285&4|683&2;318&4|56&4|514&4|48&2|82&2|480&4|433&4|188&5|1&2|154&5|81&5|28&3|748&2|271&2|285&4|683&2
648&4|663&4|202&3|523&5|215&3|566&4|367&3|1045&2|549&3|732&3|173&5|265&4;67&1|1058&2|971&3|736&2;648&4|663&4|202&3|523&5|215&3|566&4|367&3|1045&2|549&3|732&3|173&5|265&4|67&1|1058&2|971&3|736&2
304&3|323&2|687&2|289&2|319&2|294&3|286&2|288&3|292&3|259&4|321&2|243&1;245&2|989&2|678&3|991&3;304&3|323&2|687&2|289&2|319&2|294&3|286&2|288&3|292&3|259&4|321&2|243&1|245&2|989&2|678&3|991&3
312&3|750&5|327&5|875&4|748&4|300&4|751&3|325&1|245&4|340&5|294&5|271&3;302&5|872&5|264&5|346&5;312&3|750&5|327&5|875&4|748&4|300&4|751&3|325&1|245&4|340&5|294&5|271&3|302&5|872&5|264&5|346&5
939&3|39&3|218&3|233&4|443&4|183&5|300&4|234&5|770&3|603&4|185&5|566&4;1046&2|44&3|1217&4|761&3;939&3|39&3|218&3|233&4|443&4|183&5|300&4|234&5|770&3|603&4|185&5|566&4|1046&2|44&3|1217&4|761&3
79&4|168&5|315&5|50&5|276&5|69&4|708&5|132&4|684&3|185&4|188&3|65&4;167&4|94&4|73&5|40&3;79&4|168&5|315&5|50&5|276&5|69&4|708&5|132&4|684&3|185&4|188&3|65&4|167&4|94&4|73&5|40&3
389&4|559&4|94&4|162&4|210&4|588&4|1&4|88&4|1039&4|747&4|1050&5|465&4;196&5|395&4|401&3|105&4;389&4|559&4|94&4|162&4|210&4|588&4|1&4|88&4|1039&4|747&4|1050&5|465&4|196&5|395&4|401&3|105&4
1137&3|14&4|300&4|222&2|813&4|1010&2|319&4|124&5|301&4|100&3|9&5|1171&3;924&1|13&4|277&1|284&3;1137&3|14&4|300&4|222&2|813&4|1010&2|319&4|124&5|301&4|100&3|9&5|1171&3|924&1|13&4|277&1|284&3
313&5|286&1|258&4|748&2|984&5|294&3|288&3|322&5|751&4|346&1|315&3|687&1;894&4|688&3|243&3|343&4;313&5|286&1|258&4|748&2|984&5|294&3|288&3|322&5|751&4|346&1|315&3|687&1|894&4|688&3|243&3|343&4
174&5|69&5|655&5|930&5|474&5|748&4|568&3|633&5|969&5|200&5|429&5|979&5;479&4|184&2|175&5|423&4;174&5|69&5|655&5|930&5|474&5|748&4|568&3|633&5|969&5|200&5|429&5|979&5|479&4|184&2|175&5|423&4
628&4|562&4|685&4|742&5|50&5|28&5|1086&4|1261&4|475&4|7&5|64&4|762&4;258&2|931&1|52&3|526&2;628&4|562&4|685&4|742&5|50&5|28&5|1086&4|1261&4|475&4|7&5|64&4|762&4|258&2|931&1|52&3|526&2
423&3|137&3|25&3|268&4|127&4|275&3|461&3|1115&3|10&4|116&4|246&4|125&3;8&5|317&5|582&5|157&5;423&3|137&3|25&3|268&4|127&4|275&3|461&3|1115&3|10&4|116&4|246&4|125&3|8&5|317&5|582&5|157&5
307&1|259&3|879&4|326&2|300&5|270&4|880&5|286&3|304&4|328&3|358&1|877&2;264&3|1025&4|678&4|261&3;307&1|259&3|879&4|326&2|300&5|270&4|880&5|286&3|304&4|328&3|358&1|877&2|264&3|1025&4|678&4|261&3
1255&2|253&3|1082&3|604&3|511&4|193&4|1244&2|199&4|272&3|275&2|340&3|257&3;11&5|297&3|301&3|519&5;1255&2|253&3|1082&3|604&3|511&4|193&4|1244&2|199&4|272&3|275&2|340&3|257&3|11&5|297&3|301&3|519&5
319&5|463&3|45&5|170&5|294&3|70&4|242&5|305&4|52&5|531&4|937&4|462&4;1148&3|737&3|714&4|547&4;319&5|463&3|45&5|170&5|294&3|70&4|242&5|305&4|52&5|531&4|937&4|462&4|1148&3|737&3|714&4|547&4
255&4|298&3|880&5|93&4|1160&5|288&4|257&4|25&3|327&1|294&3|476&3|289&4;1047&1|237&5|412&4|871&3;255&4|298&3|880&5|93&4|1160&5|288&4|257&4|25&3|327&1|294&3|476&3|289&4|1047&1|237&5|412&4|871&3
325&2|116&4|20&3|14&4|100&4|275&4|285&4|286&4|311&4|125&3|111&3|137&4;357&5|182&4|521&5|191&4;325&2|116&4|20&3|14&4|100&4|275&4|285&4|286&4|311&4|125&3|111&3|137&4|357&5|182&4|521&5|191&4
304&4|1052&1|213&4|325&2|1415&1|887&4|313&5|135&5|100&5|326&3|1193&4|235&3;496&4|740&3|387&4|154&3;304&4|1052&1|213&4|325&2|1415&1|887&4|313&5|135&5|100&5|326&3|1193&4|235&3|496&4|740&3|387&4|154&3
382&4|110&2|710&3|94&3|511&3|8&3|709&4|64&5|70&4|508&4|1017&3|211&4;1028&3|381&4|275&4|4&4;382&4|110&2|710&3|94&3|511&3|8&3|709&4|64&5|70&4|508&4|1017&3|211&4|1028&3|381&4|275&4|4&4
333&5|309&5|286&5|313&4|294&5|948&1|678&2|323&2|327&4|269&3|343&5|271&4;12&5|175&2|644&3|748&4;333&5|309&5|286&5|313&4|294&5|948&1|678&2|323&2|327&4|269&3|343&5|271&4|12&5|175&2|644&3|748&4
820&4|96&5|225&3|370&2|1188&5|125&5|284&5|411&4|833&5|50&5|1047&3|70&2;450&5|77&4|53&3|38&2;820&4|96&5|225&3|370&2|1188&5|125&5|284&5|411&4|833&5|50&5|1047&3|70&2|450&5|77&4|53&3|38&2
55&3|229&2|122&1|692&3|455&4|645&3|230&2|746&5|54&3|155&3|12&4|111&4;73&3|584&4|225&3|722&3;55&3|229&2|122&1|692&3|455&4|645&3|230&2|746&5|54&3|155&3|12&4|111&4|73&3|584&4|225&3|722&3
681&2|286&3|876&3|328&3|294&4|264&3|323&3|334&2|288&3|895&2|313&5|748&3;25&2|50&3|322&3|471&4;681&2|286&3|876&3|328&3|294&4|264&3|323&3|334&2|288&3|895&2|313&5|748&3|25&2|50&3|322&3|471&4
